yane羽毛 嗯？封面gkd[doge]

大力鸽 跳过剧情的我 : 我不知道发生了什么，我只知道我要大开杀戒.jpg[害羞]

毒王曼陀罗 封面。。。我懂了！！！主角＝玩家所以玩家和火星人贴贴

WillNie坚果威尔 视频中有一点说明还是需要纠正：虽然6代最终关的友军小兵仍旧是洗白弱N分，但是他们的攻击是有伤害的，小兵扔10颗雷（10颗左右，未实测）就能打开箱子了，原因是箱子的血量为10（正好等于1颗手枪子弹），而友军小兵的手雷伤害小于10。这个捉急的伤害值并不是一点作用都没有，举个例子，小兵所在场景里有一个空箱子，玩家能以这个箱子作为垫脚石跳到右侧更高处，这样拿取高处道具的难度就会降低。但是小兵的开箱能力有时能让这一计划直接泡汤（没错，反作用也是作用23333）这样的伤害和3代自爆蜘蛛关的友军小兵是类似的，3代友军小兵的子弹伤害为1（十分之一颗手枪子弹），伤害可以忽略不计，但并不是没有。

北地小滑稽 那个将军是真的惨，12367x代代倒霉，先是被马克打爆，然后被火星人背刺，然后被金星人（应该是吧）打爆火星人 然后拥有了未来科技后被现代马克又打爆一次[笑哭]只能说 惨 然后居然用了坚果和学徒的画面 梦幻联动jpg

学徒PST 合金弹头讲述了我如何亿币通关让游戏厅老板发家致富的故事[蛆音娘_吃瓜群众]

李王jchcl 第一部：将军造反被打爆第二部：将军先被主角打爆再被火星人打爆第三部：将军被火星人打爆第四部：将军和好基友一起被打爆第五部：很像将军的团队被打爆第六部：和火星人同盟一起被金星人打爆第七部：将军又双叒叕被打爆总结：和将军搭边必被打爆[doge]

漆晓二世 三分钟，三分钟我要关于这个封面的全部信息，顺便看看下半张

那时的纳什113 封面又吸引了我[doge][doge]

年少轻狂衫又薄 之前的这些街机游戏都还是有很多有意思的设定的[喜极而泣][喜极而泣]只是一方面做得太粗糙，不详细看看不出来，另一方面当年只知道杀杀杀[抠鼻][抠鼻][抠鼻]

镜珏璃 嗐，你这一个封面让我找的好久[捂脸]，不过找到了就好[doge]

摸摸你的98k 有谁知道这游戏在哪里能下载吗？

爷六个号已冲塔 13分的时候，我想知道被虫奸的那位女性是谁

雨莫息 我知道打完boss外星人会把最前面的人抓了，所以每次我都用男的给它抓[doge]

fio教官 火星人就是侵略者而已，它们根本不会无聊到因为一个人类的祈祷而侵略地球

Avicii想活成Tim 👴的青春要回来了吗，重制版合金弹头[热词系列_知识增加]

我才不是NPC是主角 应该有人和我一样一用女角色就打不过酸液蜗牛的吧[doge]

bili_38247614769 https://b23.tv/jKWtMb 封面提取，不用谢

残手飞飞 拳皇14怒之队结局里，开会是还能看见坐在后面一本正经作笔记的马克和菲奥[笑哭]

蓝冰丶丶 我喜欢这封面的属性

几许相思几梦长 我前不久看了一个视频才知道...拳皇里的丽安娜在合金弹头里也出现过。[呲牙]

BLOOD大师 irem也是个游戏界的黄埔军校，忍者棒球巨爱

野生大贝壳 聊到腾讯。。。呵呵了。。。

进姬的逗萝 天美？凉了警告

永久之宴 在我还在读高中的时候我的游戏大神同桌花了一周的时间给我讲完了合金弹头的主线，挺怀念那段时间的

月零Zero 一币，就一币！[滑稽]

极限の劍秩 我只想知道被虫的女队友发生了什么[doge]

SOX神教大教主 这热评我麻了[囧]

我是许多舰长 合金弹头yyds

